,link
159,https://www.aftonbladet.se/nyheter/a/jdvvXo/ra-vill-ha-lagoversyn-efter-friande-hd-dom
160,https://www.aftonbladet.se/nyheter/a/b5e4Ae/ytterligare-en-begars-haktad-for-knivdad
161,https://www.aftonbladet.se/nyheter/a/Eo3wrA/valdtaktshaktad-utreds-aven-for-mord-1994
162,https://www.aftonbladet.se/nyheter/a/1nywyM/man-dod--hittades-knivhuggen-pa-torg
163,https://www.aftonbladet.se/nyheter/a/qLr3pe/sa-forsoker-dubbelmordaren-styra-fangelset
164,https://live.aftonbladet.se/supernytt/news/60d1ac827b32d200121daf21
165,https://www.aftonbladet.se/nyheter/a/4dXJ6a/man-hittad-dod-i-goteborg--polisen-misstanker-mord
166,https://tv.aftonbladet.se/video/276662
167,https://www.aftonbladet.se/nyheter/a/VqbM61/man-atalas-for-hustrumord-med-hockeyklubba
168,https://www.aftonbladet.se/nyheter/a/dO0P31/22-aring-far-16-ars-fangelse-for-knivmord-i-nordstan
169,https://www.aftonbladet.se/nyheter/a/kJXleA/likdel-var-rekvisita-till-film--misstankta-slappta
170,https://tv.aftonbladet.se/video/292246
171,https://www.aftonbladet.se/nyheter/krim/a/MgeVqE/ibrahim-dahir-doms-till-livstid-efter-dikesmordet-i-goteborg
172,https://tv.aftonbladet.se/video/278551
173,https://www.aftonbladet.se/nyheter/a/eKdPXR/dod-kvinna-hittades--mord-misstanks
174,https://www.aftonbladet.se/nyheter/a/zLQzKw/man-hittad-dod-utomhus-i-goteborg--misstankt-mord
175,https://www.aftonbladet.se/nyheter/a/21aRO4/ali-reza-misstanks-vara-mordad-vill-veta-vart-kroppen-gomts
176,https://www.aftonbladet.se/nyheter/a/pA5GEw/de-misstankta-mordarna-greps-inom-tva-timmar
177,https://www.aftonbladet.se/nyheter/a/Eowa8j/man-begard-haktad-for-mystiskt-mord-i-goteborg
178,https://www.aftonbladet.se/nyheter/a/6j49ge/misshandlade-sin-flickvan-till-dods--doms-till-livstids-fangelse
179,https://live.aftonbladet.se/supernytt/news/6021d0363c8abb001139019c
180,https://www.aftonbladet.se/nyheter/a/rWQa1e/dod-kvinna-i-skogsparti-var-inte-mordad
181,https://tv.aftonbladet.se/video/275132
182,https://www.aftonbladet.se/nyheter/a/wEBkaM/kvinna-hittad-med-stickskador-utomhus--dog-pa-sjukhus
183,https://www.aftonbladet.se/nyheter/a/dmE3WX/ingen-doms-for-mord--men-fyra-far-livstid
184,https://www.aftonbladet.se/nyheter/a/VqWLkp/skottskadade-mannen-i-biskopsgarden-utom-fara
185,https://www.aftonbladet.se/nyheter/a/K3lWn7/haktad-efter-knivmord-i-kopcenter
186,https://live.aftonbladet.se/supernytt/news/60585a29aad261001ad694ed
187,https://www.aftonbladet.se/nyheter/a/oAAgWg/en-dod-i-biskopsgarden--misstankt-mord
188,https://www.aftonbladet.se/nyheter/a/vA2JoV/medvetslos-kvinna-avled--mord-misstanks
189,https://www.aftonbladet.se/nyheter/a/AlyjOx/man-avled-efter-knivskarning--tva-anhallna
190,https://live.aftonbladet.se/supernytt/news/5eb2de7cb545f30018ba38b8
191,https://www.aftonbladet.se/nyheter/a/Jow0MP/tonaringen-skot-ihjal-fel-man--far-nio-ars-fangelse
192,https://www.aftonbladet.se/nyheter/a/bnP9bq/explosion-i-bostadshus-i-goteborg
193,https://www.aftonbladet.se/nyheter/a/naywzL/dikesmordaren-ibrahim-dahir-slapptes-nastan-fri--av-misstag
194,https://www.aftonbladet.se/nyheter/a/WbyaAg/anhoriga-far-ersattning-efter-attaarings-dod
195,https://www.aftonbladet.se/nyheter/a/vAnkGX/en-dod-efter-lagenhetsbrand-i-goteborg
196,https://tv.aftonbladet.se/video/287096
